ano,mes_num,users_direct,users_bridges,advbw,onions,ctir_ransomware,ctir_vazamento_de_dados,ctir_phishing,ctir_scan,cert_invasao,cert_dos,cert_scan,notificacoes_ctir,notificacoes_cert
2022,1,50432.41,1245.22,14502341,2431.55,1,9,12,47,73,3305,26118,3182,33477
2022,2,48921.82,1198.50,14201992,2410.21,2,13,6,64,76,3694,19601,2486,27472
2022,3,51203.11,1310.43,15102934,2450.91,1,32,18,88,85,5704,26694,3051,37553
2022,4,51543.36,1288.10,14890211,2614.43,0,4,2,49,91,5811,18519,3619,28351
2022,5,52102.19,1342.55,15302110,2701.12,0,2,26,61,203,6795,38819,3098,50437
2022,6,50982.33,1312.40,14982311,2688.45,2,5,15,55,112,5432,22103,2845,39122
2022,7,49551.10,1290.11,14701222,2590.33,1,8,10,42,98,4982,21502,3210,41203
2022,8,50122.45,1305.67,14850932,2610.11,0,12,14,59,87,5123,23411,3452,43110
2022,9,48992.11,1277.33,14601233,2580.44,3,15,22,63,94,4821,20911,2987,38762
2022,10,49231.55,1288.90,14722111,2602.88,1,11,18,72,105,5233,24122,3102,40231
2022,11,48110.22,1260.44,14401299,2550.21,4,14,25,81,118,5412,25672,3341,42109
2022,12,47502.99,1240.12,14211333,2510.66,2,9,20,55,92,4901,21332,2765,37654
2023,1,41023.55,2103.88,16802341,2890.12,4,15,45,112,102,6102,31024,3451,45211
2023,2,40882.12,2210.45,16501233,2855.33,3,10,38,98,95,5982,29845,3102,42103
2023,3,41503.90,2341.12,17102933,2910.44,5,22,52,145,115,6403,33412,3892,48922
2023,4,40112.33,2450.66,16902111,2888.11,2,8,30,92,88,5811,28761,3211,43112
2023,5,39882.44,2512.33,16752333,2870.45,4,12,35,101,92,5922,29102,3345,44501
2023,6,39551.11,2590.88,16601222,2840.99,3,9,28,87,85,5733,27891,3092,41203
2023,7,39939.90,2650.11,16850233,2912.44,5,11,40,110,105,6211,31203,3541,46722
2023,8,40112.45,2701.33,17102341,2950.21,6,18,48,125,112,6432,33411,3782,49103
2023,9,39221.11,2788.44,16922111,2920.88,4,14,35,108,98,6022,30122,3411,44211
2023,10,39452.33,2822.11,17052341,2940.12,5,16,42,118,108,6188,32103,3622,47891
2023,11,38882.11,2890.66,16801222,2901.55,7,20,45,132,125,6541,34511,3891,51022
2023,12,38112.99,2940.33,16611333,2870.44,4,15,38,105,95,5921,29872,3211,43122
2024,1,39845.21,2894.10,18903421,3102.44,8,45,88,210,210,8102,45023,4512,58112
2024,2,39551.12,2950.44,18702333,3088.21,7,40,82,198,195,7892,43112,4311,55672
2024,3,40112.45,3012.33,19102111,3150.99,10,52,95,232,225,8431,48911,4892,61203
2024,4,39716.83,3050.88,18952341,3122.45,9,48,90,221,215,8211,46722,4651,59821
2024,5,37963.67,3112.11,18501222,3050.88,11,58,102,256,242,8762,51203,5102,65411
2024,6,38502.11,3012.44,19203411,3201.55,10,55,92,245,234,8432,48211,4982,62103
2024,7,38882.45,3088.11,19452333,3250.21,12,62,105,268,251,8921,52311,5321,68912
2024,8,39112.33,3122.45,19602111,3288.44,11,60,102,261,248,8811,51902,5211,67102
2024,9,38551.11,3188.66,19322111,3240.12,13,65,110,282,263,9122,54311,5512,71203
2024,10,40470.00,3250.33,19801222,3310.55,15,75,120,312,285,9541,58910,5892,75611
2024,11,39882.11,3310.44,19552333,3288.99,12,68,112,295,272,9211,55672,5612,72102
2024,12,39112.55,3388.11,19211333,3240.21,10,61,101,267,245,8801,51332,5122,67654
2025,1,40210.55,3102.41,19502341,3250.88,12,68,110,302,245,9102,51023,5341,69102
