Year;Total;DOS;Invasão;WEB;Scan;fraude;outros;Month;bridge_users_br;relay_users_br;relays;bridges;onions
2011;25409.0;31.0;10.0;1446.0;11698.0;3300.0;5406.0;9;;406859.0;74776.0;19081.0;
2011;27966.0;3.0;5.0;856.0;14868.0;3238.0;5093.0;10;3.0;479628.0;74318.0;19593.0;
2011;27248.0;3.0;6.0;1243.0;14053.0;3819.0;4500.0;11;80.0;408075.0;71343.0;19915.0;
2011;25581.0;9.0;6.0;1532.0;10104.0;3155.0;4561.0;12;253.0;335500.0;75374.0;24018.0;
2012;27148.0;7.0;603.0;2137.0;8478.0;4096.0;4997.0;1;22.0;396130.0;78870.0;25466.0;
2012;25266.0;34.0;452.0;2211.0;8523.0;4183.0;5459.0;2;29.0;457460.0;81965.0;28748.0;
2012;34796.0;22.0;559.0;3508.0;10616.0;5126.0;12585.0;3;30.0;470963.0;88867.0;30516.0;
2012;35342.0;9.0;100.0;2111.0;9557.0;7923.0;12471.0;4;172.0;431336.0;87157.0;30606.0;
2012;40965.0;11.0;413.0;3532.0;13339.0;8557.0;11871.0;5;8.0;617898.0;90840.0;29837.0;
2012;37806.0;9.0;619.0;3124.0;16646.0;5653.0;9053.0;6;76.0;619150.0;88321.0;29482.0;
2012;42104.0;17.0;1320.0;2899.0;20638.0;6580.0;7728.0;7;0.0;598212.0;93121.0;30710.0;
2012;60018.0;40.0;659.0;1717.0;41741.0;5582.0;7412.0;8;68.0;625445.0;94329.0;32117.0;
2012;53501.0;9.0;1043.0;1359.0;35571.0;5730.0;6632.0;9;127.0;635870.0;90326.0;30902.0;
2012;39326.0;9.0;754.0;1186.0;23229.0;6442.0;4326.0;10;12.0;724314.0;91403.0;31941.0;
2012;40751.0;125.0;716.0;1116.0;28065.0;5268.0;3603.0;11;287.0;654810.0;90575.0;31944.0;
2012;29006.0;17.0;577.0;657.0;16095.0;4421.0;5686.0;12;12.0;679277.0;92313.0;33722.0;
2013;36067.0;15.0;2149.0;1305.0;18954.0;6247.0;5180.0;1;26.0;687371.0;95388.0;35095.0;
2013;26471.0;6.0;1206.0;1364.0;12664.0;5573.0;4135.0;2;6.0;588476.0;88145.0;33059.0;
2013;28090.0;6.0;1686.0;1113.0;13913.0;5259.0;4342.0;3;1.0;740171.0;100587.0;40076.0;
2013;29943.0;14.0;1511.0;1479.0;13465.0;6615.0;4775.0;4;21.0;694861.0;101001.0;43560.0;
2013;23409.0;6.0;972.0;1349.0;10378.0;5338.0;3728.0;5;123.0;767040.0;108129.0;52265.0;
2013;29713.0;15.0;592.0;2177.0;15664.0;5061.0;3624.0;6;15.0;722765.0;109997.0;53709.0;
2013;30874.0;123.0;509.0;1710.0;13769.0;7530.0;4301.0;7;0.0;726745.0;122902.0;58203.0;
2013;28531.0;24.0;542.0;1942.0;12336.0;8145.0;3452.0;8;99.0;2265003.0;132085.0;59713.0;
2013;31482.0;86.0;419.0;1573.0;15911.0;8538.0;2590.0;9;1871.0;13208032.0;127311.0;57174.0;
2013;28842.0;34.0;741.0;1066.0;13231.0;8239.0;2684.0;10;119.0;11734559.0;138034.0;60318.0;
2013;30213.0;28.0;363.0;2247.0;13263.0;8876.0;2593.0;11;154.0;8404048.0;139302.0;60501.0;
2013;29290.0;673.0;517.0;1396.0;11848.0;10254.0;1513.0;12;350.0;6941637.0;146962.0;68759.0;
2014;33959.0;6539.0;590.0;1267.0;13916.0;7248.0;1546.0;1;229.0;6087073.0;156792.0;72627.0;
2014;43227.0;6190.0;764.0;1434.0;19862.0;9616.0;1198.0;2;51.0;5206773.0;146136.0;73042.0;
2014;45808.0;2829.0;780.0;1253.0;22471.0;7780.0;1457.0;3;92.0;5279360.0;164004.0;91665.0;
2014;41533.0;1505.0;1559.0;1900.0;23320.0;8562.0;1174.0;4;185.0;4559517.0;150005.0;71801.0;
